AdSense Earnings Month,Channel ID,Revenue Source,Local Currency,Total Revenue By Source,US Sourced Revenue,Tax Withholding Rate,Tax Withheld Amount
202301,UCkMoBvRVfb9TNrzutgaU5jQ,Ads Revenue,HKD,425.530404,52.641709,15.00,7.896256
202301,UCkMoBvRVfb9TNrzutgaU5jQ,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,16.092977,3.24637,15.00,0.486956
202301,UCkNV2Q_V2WBf-JCfR8cpIkQ,Ads Revenue,HKD,29.752871,0.471942,15.00,0.070791
202301,UCkNV2Q_V2WBf-JCfR8cpIkQ,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.011022,0.008452,15.00,0.001268
202301,UCkZesHdYVJaQL5nahiWwWmw,Ads Revenue,HKD,227.716137,2.488472,15.00,0.373271
202301,UCkZesHdYVJaQL5nahiWwWmw,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.355111,0.27474,15.00,0.041211
202301,UCkdLoz0DR-1qC_42CM3SKfQ,Ads Revenue,HKD,1144.471958,15.995723,24.00,274.67327
202301,UCkdLoz0DR-1qC_42CM3SKfQ,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.223824,0.161876,24.00,0.053718
202301,UCkdeQnHWZCk-CQ2vS5k_z3Q,Ads Revenue,HKD,182.81632,34.112394,15.00,5.116859
202301,UCkdeQnHWZCk-CQ2vS5k_z3Q,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,4.913257,1.826461,15.00,0.273969
202301,UCkyA-LtX-e_DoHqAOGTi4UA,Ads Revenue,HKD,4.079728,0.058042,15.00,0.008706
202301,UCkyA-LtX-e_DoHqAOGTi4UA,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.003244,0,15.00,0
202301,UCl3_SRNB37_riG5y0idjoPA,Ads Revenue,HKD,34.458033,0.298923,15.00,0.044838
202301,UCl3_SRNB37_riG5y0idjoPA,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.007923,0.003846,15.00,0.000577
202301,UCl4AFIzfcvhw7fOkQvQSgMA,Ads Revenue,HKD,909.986393,18.574685,15.00,2.786203
202301,UCl4AFIzfcvhw7fOkQvQSgMA,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.643096,0.119656,15.00,0.017948
202301,UCl4xvI8SuFa535CLOGF3-cg,Ads Revenue,HKD,2.495907,0.075511,24.00,0.599018
202301,UClC9O2g240yTTsQMb9EQDsQ,Ads Revenue,HKD,19.86554,0.760487,15.00,0.114073
202301,UClC9O2g240yTTsQMb9EQDsQ,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.093028,0.003384,15.00,0.000508
202301,UClSUtuW5ZSQx-xH7DGCxv-w,Ads Revenue,HKD,7.196949,0.135264,15.00,0.02029
202301,UClSUtuW5ZSQx-xH7DGCxv-w,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.001137,0,15.00,0
